trade_id,order_id,fund_id,fund_isin,trade_date_time,security_id,isin,security_name,trade_type,quantity,execution_price,trade_amount,currency,broker_id,settlement_date,settlement_status
TRD000053,ORD001007,FUND001,LUPN4W31EP26,2023-10-08T00:00:00,SEC943165,USQ3BNNVFVN3,N Corp. FVN3,BUY,1421,518.55,736859.55,JPY,Brokerage A,2023-10-11,SETTLED
TRD000054,ORD000254,FUND001,LUPN4W31EP26,2023-08-06T00:00:00,SEC596089,GBPMVRZZ13G0,ETF 3% 13G0,SELL,640,978.51,626246.4,CHF,Brokerage D,2023-08-09,FAILED
TRD000055,ORD000014,FUND001,LUPN4W31EP26,2023-02-17T00:00:00,SEC395565,N/A,Cash Balance USD,BUY,2349,448.9,1054466.1,GBP,Brokerage A,2023-02-20,PENDING
TRD000056,ORD000645,FUND001,LUPN4W31EP26,2023-12-03T00:00:00,SEC806922,GBCY4UI4OVS1,Bond 1% OVS1,SELL,2346,684.63,1606141.98,USD,Brokerage B,2023-12-05,SETTLED
TRD000057,ORD000406,FUND001,LUPN4W31EP26,2023-07-28T00:00:00,SEC818050,FRSQYYK0YEQ8,ETF 1% YEQ8,BUY,143,759.07,108547.01,USD,Brokerage B,2023-07-30,FAILED
TRD000058,ORD000009,FUND001,LUPN4W31EP26,2023-12-10T00:00:00,SEC220314,DEJD6ACZEYM9,Mutual Fund Share 3% EYM9,SELL,1549,331.56,513586.44,GBP,Brokerage D,2023-12-12,FAILED
TRD000059,ORD000703,FUND001,LUPN4W31EP26,2023-10-24T00:00:00,SEC263292,GB98KWM9NL02,Mutual Fund Share 6% NL02,SELL,2386,76.84,183340.24,GBP,Brokerage B,2023-10-27,PENDING
TRD000060,ORD000010,FUND001,LUPN4W31EP26,2023-02-07T00:00:00,SEC728155,USYR6ISTDWK1,Bond 4% DWK1,SELL,118,672.3,79331.4,CHF,Brokerage B,2023-02-09,SETTLED
TRD000061,ORD001130,FUND001,LUPN4W31EP26,2023-02-28T00:00:00,SEC929747,DE6XGCSFQ2L0,ETF 3% Q2L0,SELL,2153,659.25,1419365.25,GBP,Brokerage D,2023-03-03,PENDING
TRD000062,ORD000400,FUND001,LUPN4W31EP26,2023-03-15T00:00:00,SEC728934,FRZRCKKXMA06,Z Corp. MA06,BUY,2353,184.23,433493.19,CHF,Brokerage A,2023-03-18,SETTLED
TRD000063,ORD001030,FUND001,LUPN4W31EP26,2023-10-28T00:00:00,SEC818050,FRSQYYK0YEQ8,ETF 1% YEQ8,BUY,1360,651.38,885876.8,USD,Brokerage B,2023-10-30,SETTLED
TRD000064,ORD000458,FUND001,LUPN4W31EP26,2023-11-30T00:00:00,SEC466092,DEC6WNKI87C4,Mutual Fund Share 4% 87C4,BUY,1689,711.86,1202331.54,GBP,Brokerage B,2023-12-03,PENDING
TRD000065,ORD000619,FUND001,LUPN4W31EP26,2023-04-15T00:00:00,SEC818050,FRSQYYK0YEQ8,ETF 1% YEQ8,SELL,1695,613.34,1039611.3,USD,Brokerage B,2023-04-17,SETTLED
TRD000066,ORD000035,FUND001,LUPN4W31EP26,2023-01-18T00:00:00,SEC933459,FR8WX85KOPT1,Mutual Fund Share 8% OPT1,SELL,1107,258.49,286148.43,AUD,Brokerage B,2023-01-20,FAILED
TRD000067,ORD000751,FUND001,LUPN4W31EP26,2023-07-11T00:00:00,SEC261696,USRXMONXLCO2,Bond 3% LCO2,SELL,1019,476.08,485125.52,EUR,Brokerage A,2023-07-13,PENDING
TRD000068,ORD000782,FUND001,LUPN4W31EP26,2023-02-06T00:00:00,SEC806922,GBCY4UI4OVS1,Bond 1% OVS1,SELL,407,248.81,101265.67,USD,Brokerage D,2023-02-08,SETTLED
TRD000069,ORD000033,FUND001,LUPN4W31EP26,2023-02-12T00:00:00,SEC590631,N/A,Cash Balance JPY,SELL,606,198.9,120533.4,EUR,Brokerage C,2023-02-14,PENDING
TRD000070,ORD000526,FUND001,LUPN4W31EP26,2023-05-03T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,SELL,936,935.41,875543.76,CHF,Brokerage B,2023-05-06,FAILED
TRD000071,ORD001160,FUND001,LUPN4W31EP26,2023-05-08T00:00:00,SEC366590,GB8D6PIK8AZ5,Mutual Fund Share 8% 8AZ5,SELL,415,252.15,104642.25,EUR,Brokerage D,2023-05-11,PENDING
TRD000072,ORD000461,FUND001,LUPN4W31EP26,2023-10-11T00:00:00,SEC943165,USQ3BNNVFVN3,N Corp. FVN3,BUY,647,660.08,427071.76,JPY,Brokerage D,2023-10-13,FAILED
TRD000073,ORD000314,FUND001,LUPN4W31EP26,2023-04-22T00:00:00,SEC809575,USKHO6SKP000,Mutual Fund Share 1% P000,SELL,2299,663.56,1525524.44,GBP,Brokerage C,2023-04-25,SETTLED
TRD000074,ORD000221,FUND001,LUPN4W31EP26,2023-10-06T00:00:00,SEC943165,USQ3BNNVFVN3,N Corp. FVN3,SELL,371,344.18,127690.78,JPY,Brokerage C,2023-10-08,PENDING
TRD000075,ORD000509,FUND001,LUPN4W31EP26,2023-11-30T00:00:00,SEC521392,USZXC9FTY6R0,U Corp. Y6R0,BUY,1264,237.57,300288.48,CAD,Brokerage A,2023-12-03,SETTLED
TRD000076,ORD001029,FUND001,LUPN4W31EP26,2023-08-25T00:00:00,SEC375066,GBEJ8VAR5QI5,Bond 7% 5QI5,BUY,1072,918.22,984331.84,USD,Brokerage A,2023-08-28,PENDING
TRD000077,ORD000168,FUND001,LUPN4W31EP26,2023-06-09T00:00:00,SEC413977,DEZWJ6VVGTS8,Mutual Fund Share 6% GTS8,BUY,1301,172.59,224539.59,CHF,Brokerage A,2023-06-11,FAILED
TRD000078,ORD000545,FUND001,LUPN4W31EP26,2023-04-08T00:00:00,SEC175711,FRUZYG5M8UV1,Bond 3% 8UV1,BUY,1965,393.34,772913.1,JPY,Brokerage C,2023-04-11,PENDING
TRD000079,ORD000124,FUND001,LUPN4W31EP26,2023-03-11T00:00:00,SEC220151,USLCG04G3T49,Mutual Fund Share 10% 3T49,BUY,435,989.9,430606.5,CHF,Brokerage B,2023-03-14,PENDING
TRD000080,ORD000319,FUND001,LUPN4W31EP26,2023-09-18T00:00:00,SEC868990,US3U8FFWXKF9,Mutual Fund Share 7% XKF9,SELL,1468,384.6,564592.8,CHF,Brokerage A,2023-09-21,SETTLED
TRD000081,ORD000945,FUND001,LUPN4W31EP26,2023-10-31T00:00:00,SEC229651,US32TWD3L3J6,ETF 5% L3J6,BUY,980,937.24,918495.2,CAD,Brokerage C,2023-11-03,FAILED
TRD000082,ORD000930,FUND001,LUPN4W31EP26,2023-03-07T00:00:00,SEC220151,USLCG04G3T49,Mutual Fund Share 10% 3T49,SELL,763,686.48,523784.24,CHF,Brokerage A,2023-03-10,FAILED
TRD000083,ORD000992,FUND001,LUPN4W31EP26,2023-02-10T00:00:00,SEC806922,GBCY4UI4OVS1,Bond 1% OVS1,BUY,2414,380.09,917537.26,USD,Brokerage C,2023-02-13,SETTLED
TRD000084,ORD001039,FUND001,LUPN4W31EP26,2023-05-30T00:00:00,SEC830678,FRIHZFRSJPG9,Mutual Fund Share 1% JPG9,BUY,2296,487.57,1119460.72,EUR,Brokerage A,2023-06-02,FAILED
TRD000085,ORD001035,FUND001,LUPN4W31EP26,2023-08-05T00:00:00,SEC270799,US2ZO1A4X5Q9,ETF 6% X5Q9,SELL,1629,202.47,329823.63,EUR,Brokerage D,2023-08-07,FAILED
TRD000086,ORD000338,FUND001,LUPN4W31EP26,2023-06-07T00:00:00,SEC395565,N/A,Cash Balance USD,SELL,1708,857.93,1465344.44,GBP,Brokerage C,2023-06-09,PENDING
TRD000087,ORD000055,FUND001,LUPN4W31EP26,2023-10-26T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,BUY,1633,254.66,415859.78,CHF,Brokerage B,2023-10-29,SETTLED
TRD000088,ORD000336,FUND001,LUPN4W31EP26,2023-07-19T00:00:00,SEC548660,N/A,Cash Balance AUD,BUY,406,596.23,242069.38,GBP,Brokerage D,2023-07-21,FAILED
TRD000089,ORD001094,FUND001,LUPN4W31EP26,2023-06-22T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,BUY,80,489.11,39128.8,CHF,Brokerage C,2023-06-24,PENDING
TRD000090,ORD000700,FUND001,LUPN4W31EP26,2023-06-19T00:00:00,SEC839696,FROEL1L7IJB7,Bond 1% IJB7,SELL,204,370.09,75498.36,EUR,Brokerage C,2023-06-21,SETTLED
TRD000091,ORD000538,FUND001,LUPN4W31EP26,2023-10-13T00:00:00,SEC394339,DE03P8FDXFC7,Z Corp. XFC7,BUY,2178,892.09,1942972.02,CAD,Brokerage C,2023-10-15,FAILED
TRD000092,ORD000742,FUND001,LUPN4W31EP26,2023-10-09T00:00:00,SEC809575,USKHO6SKP000,Mutual Fund Share 1% P000,SELL,214,948.31,202938.34,GBP,Brokerage B,2023-10-12,PENDING
TRD000093,ORD000682,FUND001,LUPN4W31EP26,2023-01-10T00:00:00,SEC360910,DEVUHWWHQLA3,Bond 4% QLA3,SELL,558,516.71,288324.18,USD,Brokerage B,2023-01-12,SETTLED
TRD000094,ORD000437,FUND001,LUPN4W31EP26,2023-08-07T00:00:00,SEC710615,US7ZYUHM9A70,Y Corp. 9A70,SELL,2216,95.24,211051.84,CHF,Brokerage A,2023-08-09,FAILED
TRD000095,ORD001104,FUND001,LUPN4W31EP26,2023-11-03T00:00:00,SEC748040,USDW5M9GE9A0,Mutual Fund Share 2% E9A0,BUY,648,898.95,582519.6,GBP,Brokerage B,2023-11-05,FAILED
TRD000096,ORD000222,FUND001,LUPN4W31EP26,2023-07-29T00:00:00,SEC396859,USAQYD8KHJR3,Bond 9% HJR3,SELL,398,526.03,209359.94,CHF,Brokerage D,2023-08-01,PENDING
TRD000097,ORD000443,FUND001,LUPN4W31EP26,2023-04-13T00:00:00,SEC270799,US2ZO1A4X5Q9,ETF 6% X5Q9,SELL,1419,397.98,564733.62,EUR,Brokerage C,2023-04-16,PENDING
TRD000098,ORD000179,FUND001,LUPN4W31EP26,2023-11-24T00:00:00,SEC875114,N/A,Cash Balance GBP,BUY,802,148.71,119265.42,EUR,Brokerage C,2023-11-27,SETTLED
TRD000099,ORD000625,FUND001,LUPN4W31EP26,2023-09-07T00:00:00,SEC433985,USR65UR8JJC7,ETF 6% JJC7,BUY,121,62.48,7560.08,GBP,Brokerage A,2023-09-09,SETTLED
TRD000100,ORD000415,FUND001,LUPN4W31EP26,2023-07-10T00:00:00,SEC702850,USKZ0Y11RD22,Bond 4% RD22,SELL,1480,823.7,1219076.0,CHF,Brokerage A,2023-07-12,SETTLED
