transaction_id,fund_id,fund_isin,fund_type,transaction_date,isin,security_name,asset_class,transaction_type,quantity,price_per_share,gross_amount,net_amount,currency,transaction_fee,ta_account_id,shareholder_id,distributor_id,representative_id,settlement_date,payment_method
TRN00011,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-27,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,5594.5723,14.37,80394.0,80435.97,CHF,41.97,TAACC00090,SH00090,DIST005,REP0033,2023-01-28,BANK_TRANSFER
TRN00012,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-01-29,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_REINVEST,6855.5963,279.27,1914562.38,1914238.81,CHF,323.57,TAACC00048,SH00048,DIST008,REP0038,2023-01-30,OTHER
TRN00013,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-02,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SUBSCRIPTION,5008.2225,352.24,1764096.29,1763442.7,CHF,653.59,TAACC00092,SH00092,DIST005,REP0041,2023-02-04,OTHER
TRN00014,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-05,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_OUT,5399.7811,282.08,1523170.25,1524252.2,CHF,1081.95,TAACC00051,SH00051,DIST006,REP0038,2023-02-08,CHEQUE
TRN00015,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-06,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SUBSCRIPTION,2656.9105,149.64,397580.09,397525.65,CHF,54.44,TAACC00016,SH00016,DIST010,REP0042,2023-02-08,OTHER
TRN00016,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-11,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,5513.9832,455.19,2509910.01,2512283.25,CHF,2373.24,TAACC00080,SH00080,DIST008,REP0045,2023-02-13,OTHER
TRN00017,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-15,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SUBSCRIPTION,9441.5188,350.91,3313123.36,3310481.09,CHF,2642.27,TAACC00010,SH00010,DIST001,REP0013,2023-02-16,CHEQUE
TRN00018,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-19,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_REINVEST,7796.8761,127.3,992542.33,992087.47,CHF,454.86,TAACC00072,SH00072,DIST006,REP0034,2023-02-20,CHEQUE
TRN00019,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-20,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,8091.873,250.81,2029522.67,2030693.06,CHF,1170.39,TAACC00088,SH00088,DIST001,REP0007,2023-02-21,BANK_TRANSFER
TRN00020,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-02-25,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SWITCH_OUT,2856.872,248.61,710246.95,710650.77,CHF,403.82,TAACC00069,SH00069,DIST009,REP0030,2023-02-27,BANK_TRANSFER
TRN00021,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-03-01,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,SUBSCRIPTION,4258.9648,171.87,731988.28,731350.68,CHF,637.6,TAACC00035,SH00035,DIST010,REP0041,2023-03-04,CHEQUE
TRN00022,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-03-03,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,4668.8623,445.92,2081939.08,2083486.51,CHF,1547.43,TAACC00099,SH00099,DIST007,REP0050,2023-03-06,OTHER
TRN00023,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-03-08,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,REDEMPTION,4904.8414,278.27,1364870.22,1365278.7,CHF,408.48,TAACC00045,SH00045,DIST002,REP0033,2023-03-11,BANK_TRANSFER
TRN00024,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-03-12,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,2468.5328,242.96,599754.73,600353.38,CHF,598.65,TAACC00035,SH00035,DIST010,REP0041,2023-03-14,OTHER
TRN00025,FUND002,LUOLR2L20RS1,Traditional UCITS,2023-03-16,LUOLR2L20RS1,Global Equity Alpha FUND002 Share Class,Fund Share,DIVIDEND_PAYOUT,3079.6777,446.89,1376277.17,1376610.56,CHF,333.39,TAACC00010,SH00010,DIST001,REP0013,2023-03-18,BANK_TRANSFER
